Spont,Rmax,CV_ori,DSI,PrefTF,PrefSF,F1F0
1.9022,4.3889,0.1574,0.8101,1,0.04,0.545
2.0311,5.2778,0.341,0.1263,4,0.04,0.7659
0.3444,3.5,0.4203,0.2857,1,0.08,0.6005
0.9711,11.6667,0.3909,0.5762,2,0.08,0.6392
1.7022,7.0556,0.4522,0.4094,2,0.02,0.5923
0.9844,7.7778,0.4636,0.2571,2,0.08,0.5302
0.56,4.0556,0.203,0.5068,2,0.16,0.6962
0.6867,3.0556,0.4373,0.0727,2,0.08,1.5643
0.26,2.2778,0.1211,0.7317,1,0.08,1.7488
0.8022,3.1667,0.3028,0.1754,4,0.08,1.3954
0.26,1.8889,0.0791,0.6176,1,0.08,1.7822
0.0422,3.3889,0.6758,-0.0492,4,0.16,1.6235
0.4222,2.1111,0.0506,0.4737,2,0.04,0.6939
0.5,2.8333,0.2852,0.5294,1,0.08,1.6076
1.26,4.6667,0.1796,0.6429,4,0.08,0.6894
0.34,17.9444,0.3148,0.5015,4,0.16,0.2506
0.06,1.9444,0.2407,0.9143,4,0.04,1.4761
0.7889,11.5,0.531,0.6618,2,0.08,1.0369
0.0222,0.3889,0.1781,1,1,0.04,1.8874
0.4778,3.2222,0.5418,0.1207,1,0.08,0.5715
0.34,3.3333,0.2216,0.4333,2,0.08,1.3673
0.16,3.3333,0.3707,0.4333,4,0.16,1.4703
0.2067,1.3889,0.1065,0.44,1,0.04,1.1298
1.5578,10.4444,0.3428,0.0798,1,0.08,0.7378
2.625,11.2083,0.5824,0.3903,1,0.08,0.8799
1.0783,2.5833,0.3094,0.5968,2,0.02,0.884
1.3917,9.4167,0.3091,0.0177,8,0.04,0.9706
8.18,18.1667,0.0983,0.4817,1,0.16,0.2
8.1483,16.0417,0.141,0.2649,8,0.04,0.2277
0.0533,0.375,0.0847,0.6667,1,0.16,1.0266
1.1017,13.0417,0.5106,0.5304,1,0.08,0.3094
0.0433,1.9167,0.3592,0.9565,4,0.04,1.561
10.4033,28.0833,0.1284,0.4733,1,0.08,0.151
0.2433,7.1667,0.5995,0.7035,8,0.02,1.3964
0.6733,4.2917,0.551,0.7864,2,0.04,1.1372
0.0633,0.5833,0.3203,0.7143,8,0.04,1.1277
0.6583,2.4583,0.3127,0.7288,1,0.02,0.9377
7.1167,12.5417,0.2501,0.1395,2,0.04,0.1713
0.075,0.3333,0.3836,0.75,4,0.02,1.2567
