Spont,Rmax,CV_ori,DSI,PrefTF,PrefSF,F1F0
4.7267,16.0556,0.2981,0.0796,2,0.16,0.3539
9.4711,10.3333,0.1781,0.5,2,0.16,0.5246
0.04,2.7778,0.4397,0.6,4,0.16,1.5055
4.88,20.375,0.2362,0.411,4,0.04,1.3286
0.1583,2.5833,0.4776,0.5484,1,0.16,0.3804
2.955,9.5833,0.0922,0.7087,1,0.16,0.414
0.07,3.6667,0.2465,0.8068,1,0.08,0.3091
1.5,5.25,0.0451,0.873,1,0.04,0.5869
0.2333,2.5,0.1298,0.6333,1,0.04,0.3179
0.1817,2.5,0.2668,0.6833,2,0.04,1.2695
