Spont,Rmax,CV_ori,DSI,PrefTF,PrefSF,F1F0
1.2651,8.7619,0.2204,0.5652,2,0.1,0.3032
1.1397,7.9048,0.1445,0.1205,4,0.05,0.8015
0.0222,7.2381,0.2862,0.6316,4,0.05,0.5625
1.6349,17.4762,0.2746,0.3815,8,0.2,0.3582
1.0333,6.4286,0.0771,0.4593,1,0.025,1.2193
1.4317,4.4762,0.1884,0.1064,1,0.1,0.4669
5.2825,16.0952,0.2025,0.4527,1,0.025,0.9285
6.0429,18.8571,0.394,0.3662,8,0.05,1.2482
0.5393,2.1429,0.0541,0.4667,4,0.05,1.4011
7.8893,30.619,0.2011,0.1788,4,0.2,0.1938
1.0696,7.4762,0.048,0.7962,4,0.02,1.0152
5.75,22.8095,0.1782,0.6451,1,0.04,0.3343
0.8214,3.619,0.1259,0.3026,2,0.02,0.4889
16.2071,38.4286,0.0722,0.3098,4,0.32,0.2746
0.7889,3.9444,0.33,0.4225,8,0.02,0.6808
2.8667,6.9444,0.2993,0.312,1,0.04,0.475
36.4648,79.381,0.2978,0.2963,1,0.02,0.3073
0.2362,2.1905,0.2894,0.6522,8,0.08,0.79
1.6495,3.2857,0.9102,0.4348,2,0.04,0.6589
2.4629,15.619,0.1836,0.2226,1,0.04,0.2634
1.0267,8.381,0.3621,0.7784,1,0.08,0.4103
2.9967,7.5833,0.6764,0.456,1,0.04,0.4466
1.6983,4.2917,0.0525,0.6311,4,0.32,0.3914
0.0883,0.5417,0.2861,0.3077,4,0.16,1.515
0.03,0.875,0.5355,0.5238,2,0.04,1.5113
2.9967,7.5833,0.3664,0.456,1,0.04,0.4466
1.6983,4.2917,0.3399,0.6311,4,0.32,0.3914
0.0883,0.5417,0.1265,0.3077,4,0.16,1.515
0.03,0.875,0.251,0.5238,2,0.04,1.5113
0.3,2.2917,0.1428,0.5091,2,0.08,0.6782
0,4.625,0.0268,-0.009,4,0.04,0.4184
0,0.5417,0.938,0.5385,4,0.02,1.3055
0.1,0.2083,0.3938,0.8,1,0.02,1.8164
8.7,24.5,0.7996,0.3435,15,0.08,1.5623
0,0.875,0.5637,0.5238,15,0.16,0.9245
0.5,3.1667,0.5567,0.0526,1,0.04,0.8466
0.2,3.5,0.5845,0.6667,1,0.04,0.8396
0.1,2.2917,0.4283,0.5091,1,0.04,0.9846
0.3,5.0833,0.2812,0.2869,1,0.04,0.93
0.1,5.75,0.5229,-0.1232,1,0.04,1.0088
0.1,2.0417,0.869,-0.0816,2,0.02,0.7393
0.1,0.7917,0.1677,0.7368,15,0.08,0.7297
1.5,7.5,0.3726,0.3444,1,0.04,0.4017
2.9,3.8333,0.3564,0.663,2,0.08,0.634
0.2,0.25,0.048,0.6667,2,0.16,1.9621
1,2.9167,0.1928,0.4857,2,0.32,0.7969
0.8,5.8333,0.3753,0.3929,1,0.16,0.5581
0.1,5.75,,0.9783,4,0.16,0.5618
5.2,12.3333,,0.5034,1,0.02,1.3875
0.1,0.1667,,0.75,1,0.04,2
0.3,5.5417,,0.9549,4,0.16,0.539
